,Air Asia,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Day,Month,Source,Destination,Hour_of_Dept,Minute_of_Dept,Duration_in_Minutes,Stops,Additional_Info,Price
0,0,0,0,1,0,0,0,0,0,0,0,0,24,3,3,6,22,20,170,1,1,3897
1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,4,4,5,50,445,3,1,7662
2,0,0,0,0,1,0,0,0,0,0,0,0,9,6,5,5,9,25,1140,3,1,13882
3,0,0,0,1,0,0,0,0,0,0,0,0,12,5,4,4,18,5,325,2,1,6218
4,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,6,16,50,285,2,1,13302
5,0,0,0,0,0,0,0,0,1,0,0,0,24,6,4,4,9,0,145,1,1,3873
6,0,0,0,0,1,0,0,0,0,0,0,0,12,3,3,6,18,55,930,2,1,11087
7,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,6,8,0,1265,2,1,22270
8,0,0,0,0,1,0,0,0,0,0,0,0,12,3,3,6,8,55,1530,2,1,11087
9,0,0,0,0,0,0,1,0,0,0,0,0,27,5,5,5,11,25,470,2,1,8625
10,0,1,0,0,0,0,0,0,0,0,0,0,1,6,5,5,9,45,795,2,1,8907
11,0,0,0,1,0,0,0,0,0,0,0,0,18,4,4,4,20,20,155,1,1,4174
12,0,1,0,0,0,0,0,0,0,0,0,0,24,6,1,1,11,40,135,1,1,4667
13,0,0,0,0,1,0,0,0,0,0,0,0,9,5,4,4,21,10,730,2,1,9663
14,0,0,0,1,0,0,0,0,0,0,0,0,24,4,4,4,17,15,155,1,1,4804
15,0,1,0,0,0,0,0,0,0,0,0,0,3,3,5,5,16,40,1595,3,1,14011
16,0,0,0,0,0,0,0,0,1,0,0,0,15,4,5,5,8,45,270,2,1,5830
17,0,0,0,0,1,0,0,0,0,0,0,0,12,6,5,5,14,0,1355,2,1,10262
18,0,1,0,0,0,0,0,0,0,0,0,0,12,6,5,5,20,15,1380,3,1,13381
19,0,0,0,0,1,0,0,0,0,0,0,0,27,5,5,5,16,0,1235,2,1,12898
20,0,0,1,0,0,0,0,0,0,0,0,0,6,3,5,5,14,10,310,2,1,19495
21,0,1,0,0,0,0,0,0,0,0,0,0,21,3,3,6,22,0,920,2,1,6955
22,0,0,0,1,0,0,0,0,0,0,0,0,3,4,3,3,4,0,170,1,1,3943
23,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3,3,18,55,175,1,1,4823
24,0,0,0,0,1,0,0,0,0,0,0,0,6,5,4,4,18,55,800,2,1,7757
25,0,0,0,0,1,0,0,0,0,0,0,0,9,6,5,5,21,25,910,3,1,13292
26,0,0,0,1,0,0,0,0,0,0,0,0,1,6,5,5,21,50,345,2,1,8238
27,0,0,1,0,0,0,0,0,0,0,0,0,15,5,5,5,7,0,355,2,1,7682
28,0,0,0,0,0,0,0,0,0,0,1,0,18,6,3,3,9,45,170,1,1,4668
29,0,0,0,0,0,0,0,0,0,0,1,0,15,6,1,1,7,5,135,1,1,3687
30,0,0,0,0,0,0,0,0,0,0,1,0,18,6,1,1,7,5,135,1,1,3687
31,0,1,0,0,0,0,0,0,0,0,0,0,1,5,4,4,9,50,805,3,1,13227
32,0,0,0,1,0,0,0,0,0,0,0,0,6,4,3,3,4,0,170,1,1,4423
33,0,0,0,0,1,0,0,0,0,0,0,0,15,6,5,5,14,35,1320,3,1,10919
34,0,0,0,0,1,0,0,0,0,0,0,0,18,5,5,5,7,5,330,2,1,12373
35,0,0,0,1,0,0,0,0,0,0,0,0,27,6,5,5,10,35,625,2,1,5894
36,0,0,0,0,0,0,0,0,1,0,0,0,21,5,4,4,15,5,315,2,1,4649
37,0,1,0,0,0,0,0,0,0,0,0,0,18,5,4,4,14,15,150,1,1,6245
38,0,0,0,0,1,0,0,0,0,0,0,0,6,3,3,6,7,0,375,2,1,19225
39,0,0,0,0,1,0,0,0,0,0,0,0,3,6,5,5,7,5,715,2,1,14924
40,0,0,0,0,0,0,1,0,0,0,0,0,21,5,5,5,7,5,665,2,1,9646
41,0,1,0,0,0,0,0,0,0,0,0,0,15,3,3,6,6,45,510,2,1,8714
42,0,0,0,0,1,0,0,0,0,0,0,0,18,5,5,5,20,55,1325,2,1,12373
43,1,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3,11,10,165,1,1,3383
44,0,0,0,0,0,0,1,0,0,0,0,0,21,3,5,5,9,0,720,2,1,13062
45,0,0,0,0,0,0,0,0,1,0,0,0,24,3,3,6,5,45,170,1,1,3527
46,0,0,0,1,0,0,0,0,0,0,0,0,27,5,3,3,4,0,170,1,1,3943
47,0,1,0,0,0,0,0,0,0,0,0,0,3,5,1,1,11,40,135,1,1,4667
48,0,1,0,0,0,0,0,0,0,0,0,0,15,5,4,4,19,0,965,2,1,6117
49,0,0,0,0,1,0,0,0,0,0,0,0,27,6,5,5,23,5,1195,3,1,11150
50,0,0,0,0,1,0,0,0,0,0,0,0,9,3,5,5,11,0,195,1,1,7202
51,0,0,0,0,1,0,0,0,0,0,0,0,1,5,4,4,9,35,1520,2,1,12121
52,0,0,0,1,0,0,0,0,0,0,0,0,24,3,3,6,22,20,170,1,1,4377
53,0,0,0,1,0,0,0,0,0,0,0,0,18,6,3,3,21,15,180,1,1,3943
54,1,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,23,55,170,1,1,4483
